0 0 0 00    44 13 
0 0 0 01    45 13 
0 0 0 02    40 11 
0 0 0 03    41 11 
0 0 0 04    37 10 
0 0 0 05    38 10 
0 0 0 06    39 10 
0 0 0 07    40 10 
0 0 0 08    44 12 
0 0 0 09    45 12 
0 0 0 10    43 12 
0 0 0 11    41 10 
0 0 0 12    42 11 
0 0 0 13    38 09 
0 0 0 14    39 09 
0 0 0 15    40 09 
0 0 0 16    41 09 
0 0 0 17    43 11 
0 0 0 18    44 11 
0 0 0 19    45 11 
0 0 0 20    38 08 
0 0 0 21    39 08 
0 0 0 22    40 08 
0 0 0 23    41 08 
0 0 0 24    39 07 
0 0 0 25    40 07 
0 0 0 26    41 07 
0 0 0 27    43 10 
0 0 0 28    42 10 
0 0 0 29    42 09 
0 0 0 30    44 10 
0 0 0 31    45 10 
0 0 0 32    42 08 
0 0 0 33    42 07 
0 0 0 34    39 06 
0 0 0 35    40 06 
0 0 0 36    41 06 
0 0 0 37    42 06 
0 0 0 38    40 05 
0 0 0 39    41 05 
0 0 0 40    44 09 
0 0 0 41    45 09 
0 0 0 42    42 05 
0 0 0 43    43 09 
0 0 0 44    40 04 
0 0 0 45    41 04 
0 0 0 46    42 04 
0 0 0 47    43 08 
0 0 0 48    43 07 
0 0 0 49    41 03 
0 0 0 50    44 08 
0 0 0 51    43 01 
0 0 0 52    43 06 
0 0 0 53    45 08 
0 0 0 54    43 05 
0 0 0 55    43 02 
0 0 0 56    42 03 
0 0 0 57    43 03 
0 0 0 58    42 02 
0 0 0 59    43 04 
0 0 0 60    42 01 
0 0 0 61    44 06 
0 0 0 62    44 07 
0 0 0 63    45 07 
0 0 1 00    47 11 
0 0 1 01    48 11 
0 0 1 02    44 05 
0 0 1 03    51 05 
0 0 1 04    44 04 
0 0 1 05    51 04 
0 0 1 06    44 03 
0 0 1 07    51 03 
0 0 1 08    46 10 
0 0 1 09    49 10 
0 0 1 10    44 02 
0 0 1 11    51 02 
0 0 1 12    44 01 
0 0 1 13    51 01 
0 0 1 14    47 10 
0 0 1 15    48 10 
0 0 1 16    46 09 
0 0 1 17    49 09 
0 0 1 18    45 06 
0 0 1 19    50 06 
0 0 1 20    45 05 
0 0 1 21    50 05 
0 0 1 22    47 09 
0 0 1 23    48 09 
0 0 1 24    45 04 
0 0 1 25    50 04 
0 0 1 26    45 03 
0 0 1 27    50 03 
0 0 1 28    45 02 
0 0 1 29    50 02 
0 0 1 30    45 01 
0 0 1 31    50 01 
0 0 1 32    46 08 
0 0 1 33    49 08 
